"구  분","부문명","시도별","항목","단위","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월",
"총계","총계","전국","사용검사실적","","24942","28316","27358","40864","40530","38694","42111","40726","35744","40373","39812","31869","34053","28732","28340","28667","27763","42000","46872","37974","38238","43344","36985","67185","38607","32366","29418","49957","36785","55540","39766","44141","38916","41273","43360","64646","31992","40815","33470","49554","36827","51258","58718","51587","57662","50264","54134","52928","60290","52300","42163","42343","47513","53741","49107","53737","54420","50892","52915","67468","47799","54634","37233","36029","43985","51730","40446","36052","43766","32209","35503","58698","31544","40386","31348","47827","37879","46160","57663","33804","36999","26467","39624","41378","33512","32905","27992","24583","25095","33819","37569","28070","30576","49108","32807","75358","21308","24678","32538","31010","42744","30999","30877","44515","28746","44942","28699","52742","16141","34345","30731","41866","30062","36080","29393","20441","12358","19543","12015",
"총계","총계","서울","사용검사실적","","5813","4713","6793","8686","9440","4226","5795","7826","3631","8760","4410","4725","5431","3909","3304","7634","4186","5001","5487","6968","6677","5512","4772","5881","8247","5646","5447","7047","7329","6417","7396","8523","6195","3828","6166","14696","5869","5178","6034","6834","4923","5652","6618","7913","6764","3299","5732","5968","4366","4079","4060","4398","6317","6430","5969","4731","5337","8866","6591","16410","4926","12947","2898","4160","4259","6952","5146","4477","10999","3701","5929","8979","5843","10637","6778","7128","5634","6292","6980","6216","10000","2328","4868","8702","5276","10656","5724","3423","4396","5112","7040","5848","4445","3208","6128","10173","6021","3986","6718","5457","3034","3061","2327","8067","1943","4541","4120","6954","2841","2342","2662","4133","1129","3108","3040","1875","1621","1415","1035",
"총계","총계","인천","사용검사실적","","1544","1076","629","562","959","4591","2363","412","1740","1587","2557","-2542","889","749","956","831","998","5260","2423","811","585","502","1047","1619","712","567","556","581","878","5353","1329","740","674","1180","764","1933","794","560","734","803","837","1404","1590","1618","2925","1166","2815","4440","5249","1495","2014","1406","487","904","584","528","2599","2792","2103","559","1316","1520","1773","721","1664","420","731","1081","756","1325","536","1836","339","397","856","476","646","578","1431","282","576","1095","3736","1017","1956","388","1118","1356","1220","3484","1912","1134","3638","3338","544","5806","3872","3136","238","3059","8833","886","3721","5392","1141","2975","2978","3256","676","5859","1427","4098","552","8016","1427","1720","494","2382","1021",
"총계","총계","경기","사용검사실적","","5245","5367","3965","9393","9617","10895","8753","4927","9790","7349","12514","8140","5795","9412","4864","7348","6822","11419","15585","12487","10781","9904","7726","20144","8667","10210","6685","16111","13093","17765","13001","13207","10494","14081","14739","18243","9776","11004","7443","10589","15925","17491","18496","20181","21413","23391","17538","17805","21583","19620","10706","14569","19036","21831","18985","21282","24478","15778","21619","20764","16706","13471","16475","13213","19111","26884","15071","13265","10679","6800","10472","13747","10639","13185","9053","14650","10799","18072","25661","11908","7368","10882","11627","13461","15597","9522","6925","9514","8473","10291","16046","12687","7954","19160","8513","25215","3426","8003","9151","9568","8508","9717","14503","13846","9193","18366","9107","19812","3495","12962","12907","17803","13460","9463","8219","5875","3171","11580","5261",
"총계","총계","부산","사용검사실적","","1653","1608","1530","1520","4407","1267","2878","4152","1320","1923","4943","3283","2326","1022","2495","1047","719","4551","1090","1023","994","5146","842","3733","1248","830","789","1034","806","1924","1030","2806","3483","1998","1035","2316","3014","986","2103","2120","3902","2013","3032","2033","3541","1539","1340","1865","2643","5866","2171","2761","2158","2157","2704","1026","1018","5228","1797","1388","1709","2944","2533","2416","3470","2288","3616","2290","2411","2253","2550","1996","3894","2307","3287","1116","535","3462","3249","1277","3325","2312","401","1814","1393","942","2240","3499","891","1975","2053","749","761","704","394","14380","672","749","938","2151","3055","2047","975","2593","6781","1807","1741","3849","1903","1612","1621","686","2206","31","1307","266","170","107","298",
"총계","총계","대구","사용검사실적","","626","734","208","1167","401","776","1805","1789","627","1301","440","2641","2364","774","2160","1456","783","370","980","1764","2015","306","2821","5588","2510","1013","3140","2656","670","7076","2083","2088","812","2941","2190","4008","1325","2410","1453","171","267","1293","5916","931","2963","1907","2038","627","507","1236","712","2518","165","1052","160","2880","1070","961","3238","3994","259","844","127","2348","84","994","488","418","773","1614","973","1728","834","1521","769","3763","495","2209","1168","2018","160","2738","1043","1741","218","340","2046","118","55","908","2078","571","2408","1039","5843","781","399","55","3819","1694","1778","3540","1261","2607","1045","1988","1220","1682","660","1335","3102","5228","2117","347","911","1952","7","7","326",
"총계","총계","광주","사용검사실적","","999","1019","1161","932","3116","1234","2312","474","1347","469","636","727","1687","1180","916","271","104","223","1731","222","910","417","184","739","866","215","1379","3803","1092","508","665","1013","1208","127","429","1977","1732","235","1235","807","528","2260","761","853","2563","393","334","1895","836","1256","318","1214","84","1338","723","1525","2177","622","407","-417","1799","2052","1153","690","1761","2287","161","912","1922","477","787","2262","158","1829","2344","1520","3566","691","837","41","2914","366","584","1834","2162","702","56","559","788","1350","74","772","152","102","1027","1061","82","2955","466","1651","634","125","50","1530","570","4008","233","149","135","878","38","367","389","104","621","39","95","435","231",
"총계","총계","대전","사용검사실적","","237","2955","1073","1017","81","2644","475","1829","301","1871","165","744","612","389","129","80","1326","2015","144","298","244","648","1323","233","350","546","712","378","1161","1621","199","206","1753","203","656","483","708","247","333","2992","316","719","991","129","378","858","1262","430","131","568","207","1196","168","877","2297","1303","1592","436","149","249","192","317","60","131","79","1123","636","1235","556","1309","227","944","159","254","271","2709","240","71","121","1193","1623","410","2376","235","149","61","96","262","69","57","99","114","404","3642","2823","336","106","1176","1363","43","2797","114","188","2786","313","843","1848","156","119","128","541","1830","579","183","90","62","41","65","194",
"총계","총계","울산","사용검사실적","","422","1638","1428","650","2277","871","1301","242","1550","911","832","-28","272","1973","1366","1538","1904","194","222","896","1302","166","714","2147","187","188","205","2208","287","901","232","307","567","523","223","1140","422","1149","998","987","455","805","177","1214","3025","145","1996","163","1573","903","1140","414","97","2595","220","102","170","1397","441","1973","2565","2757","78","1245","1874","715","497","133","1332","375","533","947","858","841","98","58","46","109","63","20","84","66","1038","191","438","35","55","65","688","57","48","52","73","924","67","339","129","381","296","1158","187","116","66","1179","59","715","43","432","23","44","54","418","2751","799","419","59","2642","7","34",
"총계","총계","세종","사용검사실적","","126","107","110","1709","951","48","1691","4378","1518","2714","2856","2368","2396","1364","560","1429","735","2285","2558","1458","587","1842","284","3091","804","848","305","9","1410","32","1238","982","1927","50","493","706","35","2347","605","7514","42","77","3231","33","73","1330","745","1342","2539","1448","3464","1434","726","1547","80","1939","93","25","2040","422","453","1460","211","1019","2068","1218","1101","1434","1761","16","27","465","13","573","23","44","12","77","49","44","1555","694","65","1523","365","563","26","32","26","867","24","1061","1374","3608","37","1147","39","102","541","619","619","23","42","27","145","24","496","1617","22","54","17","23","19","17","27","13","27","1037","9",
"총계","총계","강원","사용검사실적","","485","207","626","2774","1288","1000","1051","1298","2611","1272","478","881","357","354","261","891","1794","872","960","511","1896","547","2668","2717","420","909","308","592","310","520","1587","1790","636","2748","1839","1379","511","478","312","802","484","579","756","886","1677","1836","3497","1623","2007","315","1667","1211","1094","1948","4393","2995","746","1578","1742","4852","2155","1615","1462","2315","894","762","1575","2029","1194","3456","567","4958","654","1402","909","5200","1408","3077","614","304","1387","313","1220","1535","410","3035","1109","1248","241","1247","1238","606","2734","867","2491","3207","321","339","1432","615","791","2078","1426","436","316","453","519","880","304","1278","1424","930","353","2470","285","1797","176","524","422",
"총계","총계","충북","사용검사실적","","489","477","3656","2428","621","1114","1326","1522","1967","1497","2227","1980","539","328","1292","361","1765","556","1254","1025","2327","1107","3203","2446","1954","1461","661","278","644","1544","1445","1394","582","1873","2738","2305","752","1110","510","2284","369","1103","1511","1639","1420","289","4651","3168","1695","2956","1967","1084","395","2860","1818","4776","3976","4274","2909","1203","1002","341","1395","1126","369","501","2984","1673","3135","1659","299","1761","721","2277","1238","261","1754","1795","3276","810","2437","255","4399","953","1003","227","1612","276","1365","1519","1360","270","1628","885","1188","2553","272","255","1195","199","2412","1620","671","853","307","975","507","1722","272","1154","214","558","197","5150","2658","1115","474","723","211",
"총계","총계","충남","사용검사실적","","1060","821","853","649","1667","672","1983","2685","2705","2463","1662","2313","970","923","1577","1324","739","884","4241","1657","2359","2430","2361","3069","3524","1043","1502","6369","2541","1322","1494","3749","2652","4001","1961","3688","1193","6705","755","1892","1965","1984","4230","3351","3068","2828","2018","3907","3431","2041","3262","2163","3908","1602","2310","2310","4856","2015","1313","888","972","1155","670","328","1389","1127","3337","986","493","581","1305","2638","1012","442","710","3132","1589","2029","2880","1402","365","1368","1545","1938","2243","510","276","1748","2362","1069","1851","416","1248","774","450","1722","2426","784","1505","1971","5487","1946","3139","1976","2809","2552","1483","4793","1715","1829","1338","548","2925","1239","5635","2152","1312","183","198",
"총계","총계","전북","사용검사실적","","1096","1384","335","943","379","2503","960","2326","905","3016","1844","665","2776","957","964","212","428","1416","1935","1932","1563","1391","760","1202","1509","1439","1157","592","373","1846","804","772","1044","503","1565","1015","334","221","1258","784","454","2296","605","510","427","1502","916","2376","3840","1107","1589","1069","204","1958","1382","2306","482","835","1532","2116","3624","1976","843","300","303","1538","427","411","2900","1398","2527","686","1930","572","1242","2144","1927","1739","2120","1462","564","189","282","2934","381","509","1193","298","1246","830","256","1291","402","2161","267","816","267","391","164","527","2118","3012","808","219","1509","177","915","2768","712","1031","1517","649","1364","666","1017","553","1170","55","71",
"총계","총계","전남","사용검사실적","","1062","3095","555","1887","932","1339","3143","1722","654","1323","643","653","1932","792","1488","572","1550","1066","2579","1473","686","2083","1241","3594","834","475","865","1145","1523","4013","1742","804","1608","1742","1043","2209","582","432","1571","861","522","992","575","1521","2544","2521","783","2308","978","1196","552","561","1463","786","664","902","1751","1054","1543","592","1357","370","2369","1412","984","746","1890","1275","941","927","750","719","429","1392","1052","1452","546","2250","3366","3242","1595","1048","1467","1306","476","1534","749","498","1283","1742","2257","580","1224","3641","1594","1769","1362","1304","1240","837","1433","429","563","1743","1556","2617","772","2234","2377","333","2962","948","963","440","857","498","281","503","1014",
"총계","총계","경북","사용검사실적","","1686","1902","811","842","2167","2137","1823","1527","911","1516","2028","2146","915","2678","3002","710","2887","2532","2252","1907","2565","2990","3018","5646","1664","5471","2487","1927","1259","2470","2733","1968","2726","1677","2192","3889","1058","2524","2103","649","1351","7100","3762","5062","1860","1152","3672","1167","3338","4655","3506","1139","5851","2477","2878","2539","2357","2109","222","3019","5107","2878","4005","2736","1111","431","1256","1458","548","2512","1143","2065","2364","1094","469","3133","2633","603","899","338","1437","1188","2959","572","418","2502","2155","988","327","1838","548","633","1401","1618","659","1878","1102","514","806","769","350","414","577","498","343","830","1219","1239","280","1162","308","2085","292","2359","1179","308","178","110","551",
"총계","총계","경남","사용검사실적","","1656","717","3328","5339","1888","2976","3699","3277","3355","2045","1116","2537","4062","1285","2569","2520","756","2199","2508","2311","2233","7856","2936","3034","4260","687","2120","3410","2228","1155","2024","2691","1745","2429","3982","3009","2185","3942","3942","8463","3482","4251","5505","1787","1982","4273","3809","2759","4344","2514","3875","4232","3933","2398","3251","1853","774","1928","4312","8032","2448","7530","542","1284","4059","3218","781","2522","2687","3353","6245","12532","1265","1312","1942","388","5739","2730","4539","2300","1012","1038","1760","758","750","1083","2319","383","1420","808","374","1109","481","3144","357","3922","315","286","2210","319","384","1600","326","423","484","1829","1127","858","231","1950","263","1215","525","855","1451","1742","170","105","767",
"총계","총계","제주","사용검사실적","","743","496","297","366","339","401","753","340","812","356","461","636","730","643","437","443","267","1157","923","1231","514","497","1085","2302","851","818","1100","1817","1181","1073","764","1101","810","1369","1345","1650","1702","1287","2081","1002","1005","1239","962","1926","1039","1835","988","1085","1230","1045","953","974","1427","981","689","740","944","994","957","1424","1209","457","639","585","506","526","749","453","679","453","633","435","432","351","307","653","310","376","410","947","597","177","254","864","277","296","293","316","245","665","311","177","249","293","425","253","497","262","456","373","324","271","234","340","232","242","371","341","376","394","336","347","241","833","250","415","329","305","372",
"공공부문","소계","전국","사용검사실적","","2670","4059","4278","14282","12260","8828","9159","7079","9597","7079","12279","3022","3765","389","4395","7045","5297","11219","8228","6964","5191","1119","8675","25537","5569","1676","4628","14006","10367","9062","6050","5074","11060","6604","7434","10090","392","1529","924","8123","11238","5676","10138","3440","13821","16189","7352","7385","5551","4435","1086","3554","8609","5146","6534","3342","16169","11864","6835","9055","641","5708","1192","4406","11913","6419","7655","3771","7479","4907","5244","14568","2797","2634","5467","6989","5835","12234","12491","4616","5429","2689","6914","12651","1740","4570","2915","4336","3234","7994","9679","3280","6320","19184","64","13004","1172","2016","4175","5057","6011","8465","5773","9264","8053","12274","2476","13849","267","1207","4615","7721","4700","4936","4496","3760","3099","10801","5365",
"공공부문","소계","서울","사용검사실적","","1018","0","2374","4434","5259","231","2051","2224","-1564","402","426","96","426","0","-397","2350","0","1077","0","0","273","596","9","433","73","15","533","0","0","0","661","1153","710","0","48","362","0","0","148","0","0","60","496","319","2200","117","575","424","0","137","0","-137","277","4","818","84","626","3352","0","0","140","2890","0","0","297","157","902","1","5","230","0","0","140","173","166","-170","0","20","5","1242","933","11","248","3197","140","4030","262","-55","21","12","1282","394","2","516","62","1221","351","0","1620","742","0","64","28","126","0","1705","322","1532","85","97","9","624","7","91","614","153","560","22","57",
"공공부문","소계","인천","사용검사실적","","566","0","0","0","0","3378","1437","178","820","792","2186","-3373","0","0","0","0","0","4149","1243","0","0","40","0","742","0","0","0","0","0","0","0","0","0","0","0","208","0","0","0","0","56","0","0","140","0","680","1969","0","548","1160","0","686","0","11","0","15","1860","686","1226","0","8","5","11","4","0","0","0","616","0","0","0","1400","0","0","3","10","5","152","0","0","3","0","260","0","0","0","922","0","0","1953","0","3","1","1446","0","1909","1","1","0","1","551","238","0","2562","0","50","108","20","40","1109","0","1746","0","71","0","510","246","2277","870",
"공공부문","소계","경기","사용검사실적","","378","559","488","3866","3493","2585","2692","590","4976","2970","6948","1651","0","0","1255","2001","2710","3346","-2057","4976","1791","0","672","9201","1674","-1","1965","7028","6963","3807","4268","2093","3251","4287","3440","4978","0","0","0","3614","8680","3702","3621","2267","6562","9098","3288","3463","2446","2494","1156","546","3892","2677","2039","1559","9365","2436","1802","5384","42","1300","948","3355","7514","4809","3746","1618","2342","2018","1985","6052","50","1733","1700","3970","2567","10305","7045","2392","1749","2113","2937","4261","1000","0","64","2331","2300","2562","4764","2667","3493","9858","1","7232","37","1916","1354","2078","801","4953","1732","6225","3787","6500","1589","7564","0","0","3605","5173","2823","2405","3026","1846","1557","6984","3407",
"공공부문","소계","부산","사용검사실적","","0","0","0","0","0","0","0","0","622","0","0","560","0","0","43","0","0","0","0","254","0","0","0","0","468","0","0","0","0","830","0","838","0","900","0","-44","0","0","0","652","1934","0","14","0","0","0","0","0","70","0","-70","0","1201","0","0","0","0","1764","663","0","0","0","19","32","0","2","0","0","1703","0","0","395","2460","0","9","10","5","47","1","0","100","0","0","0","0","390","11","1969","0","1","665","0","2","284","0","0","0","0","1","130","0","728","0","0","668","150","0","0","0","0","1000","0","88","1","0","0","0","0","0",
"공공부문","소계","대구","사용검사실적","","0","0","0","0","0","0","0","1536","0","0","0","1366","0","0","1774","908","0","0","0","0","0","0","487","3544","759","791","1106","1752","0","0","0","0","518","0","1252","2273","0","0","0","0","0","0","2502","572","742","0","822","0","0","0","0","13","5","920","0","235","0","0","1124","1410","0","16","0","591","2","442","395","0","0","1038","119","916","0","702","477","1646","0","0","0","0","0","0","0","1186","0","0","0","0","0","849","0","25","106","0","1","0","0","0","0","0","0","0","820","0","1","0","0","1201","0","0","0","77","0","0","0","0","0","0","29",
"공공부문","소계","광주","사용검사실적","","0","0","0","727","324","125","44","0","922","0","117","518","1374","0","654","0","-784","138","849","0","0","0","0","601","0","0","532","0","230","69","0","0","0","0","0","76","0","0","0","607","468","1022","0","0","1316","0","0","498","0","0","0","0","1","9","5","0","0","460","0","0","0","292","15","0","528","700","0","0","361","0","0","664","4","7","3","0","0","21","0","0","0","0","0","0","500","0","16","0","740","3","0","0","0","0","0","40","0","0","0","533","0","50","1","49","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"공공부문","소계","대전","사용검사실적","","0","0","0","860","0","1220","0","0","0","0","0","356","0","0","0","0","687","1255","0","0","0","0","1106","0","0","0","492","0","0","1401","0","0","1460","0","0","0","392","0","0","0","0","439","819","0","182","0","0","0","0","0","0","0","0","8","0","734","1345","0","0","4","0","0","0","0","0","0","0","0","238","8","0","691","9","4","2","0","0","0","0","0","0","296","0","0","0","0","0","3","0","6","3","0","0","1762","0","0","0","0","360","0","0","0","3","0","82","1","0","0","0","1","0","0","0","0","0","0","2","0","0",
"공공부문","소계","울산","사용검사실적","","100","0","0","478","844","0","0","30","1328","0","0","-300","0","0","0","0","1189","0","0","0","0","0","0","30","0","0","0","0","0","440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","946","0","0","0","0","0","404","0","0","0","0","0","0","0","0","0","0","0","946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","43","0","0","0","437","0","0","0","0","0","0","0","0","0","0","136","0","0",
"공공부문","소계","세종","사용검사실적","","0","0","0","0","0","0","1029","0","587","1365","0","982","0","0","0","0","0","350","1623","0","0","0","0","1459","773","0","0","0","1397","0","0","0","1684","0","310","0","0","0","0","0","0","47","2686","0","0","0","0","906","906","0","0","0","0","674","0","0","0","0","1438","0","60","-60","0","0","1258","0","1080","0","80","0","0","450","0","0","0","0","0","0","0","0","1538","0","0","1500","0","0","0","0","0","0","0","0","0","3574","0","1100","0","0","399","0","597","0","0","0","0","0","0","1032","0","0","0","0","0","0","0","0","0","995","0",
"공공부문","소계","강원","사용검사실적","","0","40","0","1117","560","0","0","0","784","0","0","242","0","0","0","0","728","298","0","0","920","0","935","1433","0","0","0","326","0","0","624","990","136","756","205","0","0","0","0","0","100","0","0","0","862","781","480","0","0","0","0","0","1","1","3483","0","178","0","1","855","1","2","190","0","1","1","0","948","0","0","52","648","0","4","464","8","0","979","1","0","0","15","120","492","0","0","0","0","0","0","507","0","260","1","0","5","1","0","0","0","0","1","1","1","0","102","129","2","0","0","1","0","142","1126","0","1","0","387","243",
"공공부문","소계","충북","사용검사실적","","0","0","1416","1074","0","75","0","892","1122","690","896","749","0","0","0","0","989","0","0","0","612","0","1278","640","0","0","0","0","0","0","0","0","0","0","295","0","0","0","198","924","0","406","0","-406","0","0","0","0","741","0","0","0","1","2","189","565","0","1315","1","0","2","1","0","0","120","0","100","456","150","0","0","0","133","0","998","0","1520","0","2962","591","90","0","1527","83","0","0","0","0","2","1274","1076","0","1288","574","0","0","0","0","1","0","605","1299","0","0","30","709","0","4","31","0","0","1","0","0","294","0","80","56","0",
"공공부문","소계","충남","사용검사실적","","0","0","0","236","0","0","0","0","0","0","860","0","0","299","0","290","0","0","2526","0","491","0","1338","0","0","0","0","1965","1587","0","497","0","744","518","0","938","0","705","158","0","0","0","0","0","788","1258","0","0","0","0","0","0","0","0","0","0","2585","34","0","0","0","770","0","0","0","0","0","0","0","0","0","2042","0","0","0","250","0","0","1807","0","0","254","0","1454","0","0","0","0","0","1","1382","1","750","0","0","200","0","0","0","970","1428","888","2437","1","2504","805","228","258","0","0","0","100","822","989","0","884","0","0","0",
"공공부문","소계","전북","사용검사실적","","560","952","0","0","0","1214","0","0","0","860","690","175","990","0","210","0","-646","606","0","1376","266","483","0","0","0","871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","612","0","752","0","0","0","0","0","0","0","0","0","0","0","942","0","3","0","4","0","0","0","112","2250","0","1092","110","0","0","2","832","0","100","1087","0","0","0","0","378","0","0","723","88","1","2","0","0","0","117","0","450","17","0","0","103","1928","0","601","0","830","0","0","120","0","0","0","0","496","150","120","128","398","0","0",
"공공부문","소계","전남","사용검사실적","","48","1340","0","1490","368","0","1022","1029","0","0","0","0","975","90","0","140","424","0","1660","0","0","0","570","2265","265","0","0","646","190","1740","0","0","993","-413","0","1299","0","0","420","0","0","0","0","0","1169","2008","218","900","0","0","0","71","0","0","0","150","0","0","380","0","0","0","0","420","0","308","1360","0","250","0","150","0","0","3","0","433","0","0","362","0","0","0","260","100","100","150","0","0","0","831","0","0","418","852","0","0","0","0","0","0","0","0","150","300","0","290","0","1490","100","0","0","0","0","0","0","0","120","0","0",
"공공부문","소계","경북","사용검사실적","","0","1168","0","0","852","0","473","0","0","0","0","0","0","0","856","0","0","0","960","0","0","0","0","2610","0","0","0","526","0","201","0","0","1564","0","938","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","219","3230","1","0","0","0","410","0","0","388","389","0","0","0","0","72","0","100","842","0","0","1","8","0","0","1738","0","-869","0","0","0","200","0","0","0","0","0","0","0","0","190","0","200","0","847","765","99","440","500","0","0","0","0","0","460","0","626","11","0","0","0","0","103","40","0","0","0","0",
"공공부문","소계","경남","사용검사실적","","0","0","0","0","560","0","0","600","0","0","156","0","0","0","0","1356","0","0","876","0","838","0","1926","1369","1557","0","0","1047","0","190","0","0","0","0","946","0","0","824","0","2326","0","0","0","0","0","1075","0","404","840","644","0","2156","1","839","0","0","210","867","0","460","0","0","9","0","1247","0","0","20","0","771","1442","1200","0","0","1643","0","0","610","0","0","670","0","416","0","0","0","917","0","170","500","0","0","0","0","0","0","0","0","0","0","1","201","0","0","150","985","100","0","0","0","0","0","307","0","402","150","0","0","561",
"공공부문","소계","제주","사용검사실적","","0","0","0","0","0","0","411","0","0","0","0","0","0","0","0","0","0","0","548","358","0","0","354","1210","0","0","0","716","0","384","0","0","0","556","0","0","0","0","0","0","0","0","0","548","0","560","0","0","0","0","0","0","0","0","0","0","0","540","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","391","346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","0","0","15","0","0","88","0","80","198",
"합","국민임대","전국","사용검사실적","","203","0","599","3827","2896","231","930","2259","6339","2698","3619","1898","0","0","1551","0","1890","600","960","552","268","596","4363","12059","1557","15","966","6626","5871","1004","2842","2138","5154","1912","3664","0","0","0","0","4286","6982","1160","0","319","3362","599","0","944","2336","0","0","552","0","980","790","120","2055","909","0","1795","0","150","0","120","1743","1502","324","0","625","575","1924","2121","0","0","1424","1069","447","1740","3209","2183","2194","0","946","4150","175","0","201","514","1368","649","4806","2112","1031","722","22","4008","0","0","192","374","2664","1299","1254","1664","1654","1778","385","4561","31","0","0","2226","992","1219","174","120","958","189","30",
"합","국민임대","서울","사용검사실적","","203","0","599","665","1792","231","0","1171","-1373","0","0","440","0","0","0","0","0","0","0","0","0","596","0","346","0","15","76","0","0","0","0","550","710","0","48","0","0","0","0","0","0","0","0","319","0","117","0","0","0","0","0","0","0","0","0","0","587","649","0","0","0","150","0","0","107","0","252","0","0","0","0","0","0","0","166","0","0","0","0","0","0","0","0","560","75","0","-75","0","0","0","0","0","0","0","22","0","0","0","192","0","0","0","0","0","0","0","315","0","1","0","0","0","0","0","0","0","0","0","0",
"합","국민임대","인천","사용검사실적","","0","0","0","0","0","0","0","0","0","0","1738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","457","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","1746","0","0","0","0","0","0","0",
"합","국민임대","경기","사용검사실적","","0","0","0","2125","0","0","930","0","4636","2008","1191","0","0","0","1255","0","1890","0","0","0","0","0","0","5373","0","0","890","4490","4342","0","2218","0","782","540","1426","0","0","0","0","2590","5048","1160","0","0","1992","0","0","0","730","0","0","342","0","0","0","0","1290","0","0","847","0","0","0","120","1372","1502","0","0","431","0","0","0","0","0","0","329","447","1230","613","1592","0","0","0","1477","0","0","0","514","528","449","2862","2032","1031","640","0","1848","0","0","0","0","0","0","0","1504","140","70","0","3027","0","0","0","479","0","545","74","0","576","0","0",
"합","국민임대","부산","사용검사실적","","0","0","0","0","0","0","0","0","622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","794","0","0","0","0","0","0","0","0","1934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","332","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"합","국민임대","대구","사용검사실적","","0","0","0","0","0","0","0","1088","0","0","0","1366","0","0","0","0","0","0","0","0","0","0","0","3544","0","0","0","1022","0","0","0","0","518","0","1252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402","0","0","0","0","0","0","0","0","0","0","0","684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","258","0","0","0","0","800","0","0","0","1","0","0","0","0","0","0","0",
"합","국민임대","광주","사용검사실적","","0","0","0","0","0","0","0","0","672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","710","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"합","국민임대","대전","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","600","0","0","0","0","866","0","0","0","0","0","0","0","0","0","1460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
