"구  분","부문명","시도별","항목","단위","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월",
"LH","국민임대","강원","사용검사실적","","0","0","0","1037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","935","432","0","0","0","326","0","0","624","794","0","0","0","0","0","0","0","0","0","0","0","0","366","482","0","0","0","0","0","0","0","0","790","0","178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","464","0","0","0","0","0","0","0","0","492","0","0","0","0","0","0","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","0","40","0","0","0","0","189","0",
"LH","국민임대","충북","사용검사실적","","0","0","0","0","0","0","0","0","1122","690","0","0","0","0","0","0","0","0","0","0","268","0","1278","640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","0","0","0","0","0","0","0","0","1486","591","0","0","0","0","0","0","0","0","0","0","676","0","0","82","0","0","0","0","0","0","605","1299","0","0","0","540","0","0","30","0","0","0","0","0","0","0","0","0","0",
"LH","국민임대","충남","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1529","0","0","0","0","356","0","0","0","0","0","0","0","0","0","0","468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1012","0","0","0","0","0","0","748","0","0","0","0","1243","0","0","0","0","0","0","1116","0","0","0","0","0","0","0","0","374","1228","0","996","0","1082","0","0","0","0","0","0","0","720","554","0","0","0","0","0",
"LH","국민임대","전북","사용검사실적","","0","0","0","0","0","0","0","0","0","0","690","0","0","0","0","0","0","0","0","552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","546","0","0","0","0","0","0","0","0","0","0","372","0","0","0","0","420","0","0","0","0","0","0","0","378","0","0","276","0","0","0","0","0","0","0","0","0","0","0","0","0","831","0","0","0","0","0","0","0","0","0","0","0","0","120","100","0","300","0","0",
"LH","국민임대","전남","사용검사실적","","0","0","0","0","368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","874","0","0","0","0","0","814","0","0","0","460","0","0","0","0","0","0","0","0","0","0","536","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","320","0","0","362","0","0","0","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","110","0","0","0","0","0","0","0","0","0","0","82","0","0",
"LH","국민임대","경북","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","296","0","0","0","960","0","0","0","0","0","0","0","0","316","0","0","0","0","0","0","938","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"LH","국민임대","경남","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","930","0","1557","0","0","472","0","190","0","0","0","0","0","0","0","0","0","1696","0","0","0","0","0","0","0","0","700","0","0","210","0","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1442","0","0","0","0","794","0","460","0","0","310","0","0","0","0","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","521","70","0","0","0","0","0","217","0","0","120","0","0","30",
"LH","국민임대","제주","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","354","850","0","0","0","0","0","0","0","0","0","556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"LH","공공임대","전국","사용검사실적","","0","0","86","1045","846","865","316","1816","2226","962","1876","1010","919","0","0","2725","1415","664","3203","0","2872","0","352","5004","468","791","1400","2292","783","1502","2677","196","420","2482","1739","4275","0","0","198","1502","2905","1206","4189","1987","5464","8390","4791","2290","1856","0","400","2632","2272","2424","1588","2049","10228","7003","5978","6201","0","543","1070","2081","4742","1889","1993","1209","3295","2421","3268","10564","161","1072","2645","6069","2701","5314","8745","3","1252","780","5652","3883","1000","390","1674","1988","1237","4432","1192","774","1342","2424","42","3201","820","1415","3430","1244","1053","4706","3347","2581","1535","3291","1348","5512","141","2","2963","2207","1309","3273","1864","3157","757","2361","1217",
"LH","공공임대","서울","사용검사실적","","0","0","0","0","0","0","0","0","680","0","0","0","0","0","0","1339","0","0","0","0","40","0","0","0","0","0","0","0","0","0","130","0","0","0","0","362","0","0","0","0","0","60","0","0","0","0","0","890","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","1","1","1","5","1","0","0","14","3","0","0","0","20","5","3","699","11","32","0","0","0","277","0","0","12","0","0","0","0","40","0","0","0","1294","12","0","0","0","0","0","0","6","1393","0","1","9","226","7","8","0","0","212","0","10",
"LH","공공임대","인천","사용검사실적","","0","0","0","0","0","0","316","0","820","0","448","0","0","0","0","0","0","0","1243","0","0","0","0","742","0","0","0","0","0","0","0","0","0","0","0","208","0","0","0","0","0","0","0","140","0","680","1226","0","0","0","0","686","0","0","0","15","1198","686","1226","0","0","0","24","4","0","0","0","0","0","0","0","1400","0","0","3","10","5","102","0","0","3","0","260","0","0","0","2","0","0","1953","0","3","1","1446","0","0","1","1","0","1","1","238","0","0","0","10","0","20","40","0","0","0","0","0","0","510","0","0","0",
"LH","공공임대","경기","사용검사실적","","0","0","0","1045","522","865","0","-261","340","962","1428","261","0","0","0","1386","0","664","0","0","1859","0","-620","2451","0","0","0","1717","725","812","2050","0","917","1444","1444","1597","0","0","0","578","2905","124","1763","1847","3628","3755","2263","996","1716","0","400","0","2272","992","481","700","6235","2436","1790","4437","0","443","974","2041","3527","1443","1597","620","941","820","1985","4897","0","1029","1619","3641","2120","4974","6432","0","0","204","2937","1960","1000","0","4","1255","1167","1309","168","635","423","1","1","3436","36","1315","1354","0","1","3686","588","2437","561","1225","983","3128","0","0","2952","1980","1008","1570","1550","1516","327","2027","605",
"LH","공공임대","부산","사용검사실적","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1764","0","0","0","0","19","32","0","2","0","0","26","0","0","0","0","0","9","10","5","47","1","0","100","0","0","0","0","390","11","730","0","1","0","0","2","284","0","-730","0","0","1","130","0","242","0","0","96","150","0","0","0","0","1","0","0","1","0","0","0","0","0",
"LH","공공임대","대구","사용검사실적","","0","0","0","0","0","0","0","448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","791","376","0","0","0","0","0","0","0","0","2108","0","0","0","0","0","0","1248","0","0","0","822","0","0","0","0","0","0","904","0","235","0","0","1124","1008","0","0","16","0","2","442","395","0","0","1038","119","232","0","14","0","1646","0","0","0","0","0","0","0","162","0","0","0","0","0","5","0","25","106","0","1","0","0","0","0","0","0","0","562","0","1","0","0","401","0","0","0","0","0","0","0","0","0","0","28",
"LH","공공임대","광주","사용검사실적","","0","0","0","0","324","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","532","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1022","0","0","902","0","0","0","0","0","0","0","0","0","0","0","0","460","0","0","0","0","19","0","264","0","0","0","361","0","0","664","4","7","3","0","0","21","0","0","0","0","0","0","0","0","16","0","30","3","0","0","0","0","0","0","0","0","0","0","0","50","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
