항목,시점,특성별,데이터
중학교 (억원),2021,체육,3196
중학교 (억원),2021,취미·교양,886
중학교 (억원),2021,과목: 취업관련 사교육,0
중학교 (억원),2021,과목: 진로·진학 학습상담,158
중학교 (억원),2021,유형: 일반교과 사교육,56719
중학교 (억원),2021,개인과외,7460
중학교 (억원),2021,그룹과외,5470
중학교 (억원),2021,학원수강,41147
중학교 (억원),2021,방문학습지,826
중학교 (억원),2021,유료인터넷 및 통신강좌 등,1817
중학교 (억원),2021,"유형: 예체능, 취미·교양 사교육",6603
중학교 (억원),2021,개인과외,1445
중학교 (억원),2021,그룹과외,620
중학교 (억원),2021,학원수강,4281
중학교 (억원),2021,방문수업 및 기타,256
중학교 (억원),2022,전체,70832
중학교 (억원),2022,대도시,31291
중학교 (억원),2022,서울,14905
중학교 (억원),2022,광역시,16386
중학교 (억원),2022,대도시 이외,39541
중학교 (억원),2022,중소도시,31987
중학교 (억원),2022,읍면지역,7554
중학교 (억원),2022,과목: 일반교과 사교육,61946
중학교 (억원),2022,국어,4682
중학교 (억원),2022,영어,24689
중학교 (억원),2022,수학,26357
중학교 (억원),2022,"사회, 과학",3504
중학교 (억원),2022,논술,1996
중학교 (억원),2022,"제2외국어, 한문, 컴퓨터 등",718
중학교 (억원),2022,컴퓨터,340
중학교 (억원),2022,"제2외국어, 한문 등",378
중학교 (억원),2022,"과목: 예체능, 취미·교양 사교육",8695
중학교 (억원),2022,음악,2005
중학교 (억원),2022,미술,1361
중학교 (억원),2022,체육,4261
중학교 (억원),2022,취미·교양,1068
중학교 (억원),2022,과목: 진로·진학 학습상담,191
중학교 (억원),2022,유형: 일반교과 사교육,61946
중학교 (억원),2022,개인과외,8005
중학교 (억원),2022,그룹과외,4866
중학교 (억원),2022,학원수강,46155
중학교 (억원),2022,방문학습지,770
중학교 (억원),2022,유료인터넷 및 통신강좌 등,2151
중학교 (억원),2022,"유형: 예체능, 취미·교양 사교육",8695
중학교 (억원),2022,개인과외,1749
중학교 (억원),2022,그룹과외,827
중학교 (억원),2022,학원수강,5782
중학교 (억원),2022,방문수업 및 기타,338
고등학교 (억원),2013,전체,50754
고등학교 (억원),2013,대도시,28032
고등학교 (억원),2013,서울,14869
고등학교 (억원),2013,광역시,13163
고등학교 (억원),2013,대도시 이외,22722
고등학교 (억원),2013,중소도시,19470
고등학교 (억원),2013,읍면지역,3252
고등학교 (억원),2013,과목: 일반교과 사교육,42973
고등학교 (억원),2013,국어,4199
고등학교 (억원),2013,영어,15591
고등학교 (억원),2013,수학,20075
고등학교 (억원),2013,"사회, 과학",1309
고등학교 (억원),2013,논술,1487
고등학교 (억원),2013,"제2외국어, 한문, 컴퓨터 등",311
고등학교 (억원),2013,"과목: 예체능, 취미·교양 사교육",7363
고등학교 (억원),2013,음악,2520
고등학교 (억원),2013,미술,2624
고등학교 (억원),2013,체육,978
고등학교 (억원),2013,취미·교양,1241
고등학교 (억원),2013,과목: 취업관련 사교육,418
고등학교 (억원),2013,유형: 일반교과 사교육,42973
고등학교 (억원),2013,개인과외,12571
고등학교 (억원),2013,그룹과외,5066
고등학교 (억원),2013,학원수강,24755
고등학교 (억원),2013,방문학습지,112
고등학교 (억원),2013,유료인터넷 및 통신강좌 등,469
고등학교 (억원),2013,"유형: 예체능, 취미·교양 사교육",7363
고등학교 (억원),2013,개인과외,1739
고등학교 (억원),2013,그룹과외,217
고등학교 (억원),2013,학원수강,5384
고등학교 (억원),2013,방문수업 및 기타,24
고등학교 (억원),2014,전체,50671
고등학교 (억원),2014,대도시,26770
고등학교 (억원),2014,서울,14278
고등학교 (억원),2014,광역시,12492
고등학교 (억원),2014,대도시 이외,23901
고등학교 (억원),2014,중소도시,20224
고등학교 (억원),2014,읍면지역,3677
고등학교 (억원),2014,과목: 일반교과 사교육,42790
고등학교 (억원),2014,국어,3964
고등학교 (억원),2014,영어,15344
고등학교 (억원),2014,수학,20516
고등학교 (억원),2014,"사회, 과학",1647
고등학교 (억원),2014,논술,1084
고등학교 (억원),2014,"제2외국어, 한문, 컴퓨터 등",234
고등학교 (억원),2014,"과목: 예체능, 취미·교양 사교육",7365
고등학교 (억원),2014,음악,2552
고등학교 (억원),2014,미술,2528
고등학교 (억원),2014,체육,985
고등학교 (억원),2014,취미·교양,1299
고등학교 (억원),2014,과목: 취업관련 사교육,516
고등학교 (억원),2014,유형: 일반교과 사교육,42790
고등학교 (억원),2014,개인과외,11984
고등학교 (억원),2014,그룹과외,4773
고등학교 (억원),2014,학원수강,25522
고등학교 (억원),2014,방문학습지,93
고등학교 (억원),2014,유료인터넷 및 통신강좌 등,418
고등학교 (억원),2014,"유형: 예체능, 취미·교양 사교육",7365
고등학교 (억원),2014,개인과외,1906
고등학교 (억원),2014,그룹과외,159
고등학교 (억원),2014,학원수강,5276
고등학교 (억원),2014,방문수업 및 기타,23
고등학교 (억원),2015,전체,50675
고등학교 (억원),2015,대도시,26453
고등학교 (억원),2015,서울,14184
고등학교 (억원),2015,광역시,12269
고등학교 (억원),2015,대도시 이외,24222
고등학교 (억원),2015,중소도시,20344
고등학교 (억원),2015,읍면지역,3878
고등학교 (억원),2015,과목: 일반교과 사교육,43320
고등학교 (억원),2015,국어,3882
고등학교 (억원),2015,영어,15544
고등학교 (억원),2015,수학,20720
고등학교 (억원),2015,"사회, 과학",1753
고등학교 (억원),2015,논술,1103
고등학교 (억원),2015,"제2외국어, 한문, 컴퓨터 등",316
고등학교 (억원),2015,"과목: 예체능, 취미·교양 사교육",6687
고등학교 (억원),2015,음악,1871
고등학교 (억원),2015,미술,2471
고등학교 (억원),2015,체육,1254
고등학교 (억원),2015,취미·교양,1091
고등학교 (억원),2015,과목: 취업관련 사교육,669
고등학교 (억원),2015,유형: 일반교과 사교육,43320
고등학교 (억원),2015,개인과외,11621
고등학교 (억원),2015,그룹과외,4611
고등학교 (억원),2015,학원수강,26504
고등학교 (억원),2015,방문학습지,98
고등학교 (억원),2015,유료인터넷 및 통신강좌 등,485
고등학교 (억원),2015,"유형: 예체능, 취미·교양 사교육",6687
고등학교 (억원),2015,개인과외,1768
고등학교 (억원),2015,그룹과외,197
고등학교 (억원),2015,학원수강,4677
고등학교 (억원),2015,방문수업 및 기타,45
고등학교 (억원),2016,전체,55065
고등학교 (억원),2016,대도시,27951
고등학교 (억원),2016,서울,14981
고등학교 (억원),2016,광역시,12970
고등학교 (억원),2016,대도시 이외,27114
고등학교 (억원),2016,중소도시,23468
고등학교 (억원),2016,읍면지역,3646
고등학교 (억원),2016,과목: 일반교과 사교육,46520
고등학교 (억원),2016,국어,4832
고등학교 (억원),2016,영어,16154
고등학교 (억원),2016,수학,21830
고등학교 (억원),2016,"사회, 과학",2290
고등학교 (억원),2016,논술,1042
고등학교 (억원),2016,"제2외국어, 한문, 컴퓨터 등",372
고등학교 (억원),2016,"과목: 예체능, 취미·교양 사교육",7729
고등학교 (억원),2016,음악,2342
고등학교 (억원),2016,미술,2901
고등학교 (억원),2016,체육,1262
고등학교 (억원),2016,취미·교양,1223
고등학교 (억원),2016,과목: 취업관련 사교육,816
고등학교 (억원),2016,유형: 일반교과 사교육,46520
고등학교 (억원),2016,개인과외,11059
고등학교 (억원),2016,그룹과외,4663
고등학교 (억원),2016,학원수강,30040
고등학교 (억원),2016,방문학습지,91
고등학교 (억원),2016,유료인터넷 및 통신강좌 등,666
고등학교 (억원),2016,"유형: 예체능, 취미·교양 사교육",7729
고등학교 (억원),2016,개인과외,2060
고등학교 (억원),2016,그룹과외,324
고등학교 (억원),2016,학원수강,5127
고등학교 (억원),2016,방문수업 및 기타,218
고등학교 (억원),2017,전체,57095
고등학교 (억원),2017,대도시,28936
고등학교 (억원),2017,서울,15124
고등학교 (억원),2017,광역시,13812
고등학교 (억원),2017,대도시 이외,28159
고등학교 (억원),2017,중소도시,23162
고등학교 (억원),2017,읍면지역,4997
고등학교 (억원),2017,과목: 일반교과 사교육,46592
고등학교 (억원),2017,국어,5491
고등학교 (억원),2017,영어,15513
고등학교 (억원),2017,수학,21775
고등학교 (억원),2017,"사회, 과학",2393
고등학교 (억원),2017,논술,904
고등학교 (억원),2017,"제2외국어, 한문, 컴퓨터 등",516
고등학교 (억원),2017,"과목: 예체능, 취미·교양 사교육",9057
고등학교 (억원),2017,음악,2312
고등학교 (억원),2017,미술,2808
고등학교 (억원),2017,체육,2133
고등학교 (억원),2017,취미·교양,1805
고등학교 (억원),2017,과목: 취업관련 사교육,1197
고등학교 (억원),2017,과목: 진로·진학 학습상담,249
고등학교 (억원),2017,유형: 일반교과 사교육,46592
고등학교 (억원),2017,개인과외,9776
고등학교 (억원),2017,그룹과외,4758
고등학교 (억원),2017,학원수강,31260
고등학교 (억원),2017,방문학습지,123
고등학교 (억원),2017,유료인터넷 및 통신강좌 등,675
고등학교 (억원),2017,"유형: 예체능, 취미·교양 사교육",9057
고등학교 (억원),2017,개인과외,2578
고등학교 (억원),2017,그룹과외,413
고등학교 (억원),2017,학원수강,5881
고등학교 (억원),2017,방문수업 및 기타,184
고등학교 (억원),2018,전체,59348
고등학교 (억원),2018,대도시,28527
고등학교 (억원),2018,서울,15080
고등학교 (억원),2018,광역시,13446
고등학교 (억원),2018,대도시 이외,30821
고등학교 (억원),2018,중소도시,26108
고등학교 (억원),2018,읍면지역,4714
고등학교 (억원),2018,과목: 일반교과 사교육,48410
고등학교 (억원),2018,국어,6488
고등학교 (억원),2018,영어,15979
고등학교 (억원),2018,수학,21762
고등학교 (억원),2018,"사회, 과학",2821
고등학교 (억원),2018,논술,802
고등학교 (억원),2018,"제2외국어, 한문, 컴퓨터 등",558
고등학교 (억원),2018,"과목: 예체능, 취미·교양 사교육",9686
고등학교 (억원),2018,음악,3004
고등학교 (억원),2018,미술,3353
고등학교 (억원),2018,체육,1813
고등학교 (억원),2018,취미·교양,1516
고등학교 (억원),2018,과목: 취업관련 사교육,929
고등학교 (억원),2018,과목: 진로·진학 학습상담,324
고등학교 (억원),2018,유형: 일반교과 사교육,48410
고등학교 (억원),2018,개인과외,9657
고등학교 (억원),2018,그룹과외,4500
고등학교 (억원),2018,학원수강,33368
고등학교 (억원),2018,방문학습지,96
고등학교 (억원),2018,유료인터넷 및 통신강좌 등,789
고등학교 (억원),2018,"유형: 예체능, 취미·교양 사교육",9686
고등학교 (억원),2018,개인과외,2696
고등학교 (억원),2018,그룹과외,412
고등학교 (억원),2018,학원수강,6401
고등학교 (억원),2018,방문수업 및 기타,177
고등학교 (억원),2019,전체,61819
고등학교 (억원),2019,대도시,30244
고등학교 (억원),2019,서울,15789
고등학교 (억원),2019,광역시,14454
고등학교 (억원),2019,대도시 이외,31575
고등학교 (억원),2019,중소도시,26287
고등학교 (억원),2019,읍면지역,5287
고등학교 (억원),2019,과목: 일반교과 사교육,51315
고등학교 (억원),2019,국어,7300
고등학교 (억원),2019,영어,16725
고등학교 (억원),2019,수학,22211
고등학교 (억원),2019,"사회, 과학",3383
고등학교 (억원),2019,논술,1029
고등학교 (억원),2019,"제2외국어, 한문, 컴퓨터 등",666
고등학교 (억원),2019,컴퓨터,208
고등학교 (억원),2019,"제2외국어, 한문 등",457
고등학교 (억원),2019,"과목: 예체능, 취미·교양 사교육",9250
고등학교 (억원),2019,음악,2828
고등학교 (억원),2019,미술,2982
고등학교 (억원),2019,체육,1903
고등학교 (억원),2019,취미·교양,1536
고등학교 (억원),2019,과목: 취업관련 사교육,910
고등학교 (억원),2019,과목: 진로·진학 학습상담,344
고등학교 (억원),2019,유형: 일반교과 사교육,51315
고등학교 (억원),2019,개인과외,9792
고등학교 (억원),2019,그룹과외,4162
고등학교 (억원),2019,학원수강,36306
고등학교 (억원),2019,방문학습지,64
고등학교 (억원),2019,유료인터넷 및 통신강좌 등,990
고등학교 (억원),2019,"유형: 예체능, 취미·교양 사교육",9250
고등학교 (억원),2019,개인과외,2619
고등학교 (억원),2019,그룹과외,466
고등학교 (억원),2019,학원수강,5967
고등학교 (억원),2019,방문수업 및 기타,197
고등학교 (억원),2020,전체,63482
고등학교 (억원),2020,대도시,30676
고등학교 (억원),2020,서울,16292
고등학교 (억원),2020,광역시,14384
고등학교 (억원),2020,대도시 이외,32806
고등학교 (억원),2020,중소도시,27354
고등학교 (억원),2020,읍면지역,5452
고등학교 (억원),2020,과목: 일반교과 사교육,53978
고등학교 (억원),2020,국어,7823
고등학교 (억원),2020,영어,17544
고등학교 (억원),2020,수학,23228
고등학교 (억원),2020,"사회, 과학",4004
고등학교 (억원),2020,논술,730
고등학교 (억원),2020,"제2외국어, 한문, 컴퓨터 등",649
고등학교 (억원),2020,컴퓨터,235
고등학교 (억원),2020,"제2외국어, 한문 등",414
고등학교 (억원),2020,"과목: 예체능, 취미·교양 사교육",8228
고등학교 (억원),2020,음악,2239
고등학교 (억원),2020,미술,2829
고등학교 (억원),2020,체육,1905
고등학교 (억원),2020,취미·교양,1254
고등학교 (억원),2020,과목: 취업관련 사교육,895
고등학교 (억원),2020,과목: 진로·진학 학습상담,382
고등학교 (억원),2020,유형: 일반교과 사교육,53978
고등학교 (억원),2020,개인과외,9834
고등학교 (억원),2020,그룹과외,4317
고등학교 (억원),2020,학원수강,38703
고등학교 (억원),2020,방문학습지,68
고등학교 (억원),2020,유료인터넷 및 통신강좌 등,1056
고등학교 (억원),2020,"유형: 예체능, 취미·교양 사교육",8228
고등학교 (억원),2020,개인과외,2101
고등학교 (억원),2020,그룹과외,519
고등학교 (억원),2020,학원수강,5445
고등학교 (억원),2020,방문수업 및 기타,163
고등학교 (억원),2021,전체,65399
고등학교 (억원),2021,대도시,31275
고등학교 (억원),2021,서울,16445
고등학교 (억원),2021,광역시,14830
고등학교 (억원),2021,대도시 이외,34124
고등학교 (억원),2021,중소도시,28180
고등학교 (억원),2021,읍면지역,5945
고등학교 (억원),2021,과목: 일반교과 사교육,55701
고등학교 (억원),2021,국어,8820
고등학교 (억원),2021,영어,18010
고등학교 (억원),2021,수학,23318
고등학교 (억원),2021,"사회, 과학",4206
고등학교 (억원),2021,논술,731
고등학교 (억원),2021,"제2외국어, 한문, 컴퓨터 등",617
고등학교 (억원),2021,컴퓨터,256
고등학교 (억원),2021,"제2외국어, 한문 등",361
고등학교 (억원),2021,"과목: 예체능, 취미·교양 사교육",8410
고등학교 (억원),2021,음악,2188
고등학교 (억원),2021,미술,3322
고등학교 (억원),2021,체육,1630
고등학교 (억원),2021,취미·교양,1269
고등학교 (억원),2021,과목: 취업관련 사교육,901
고등학교 (억원),2021,과목: 진로·진학 학습상담,387
고등학교 (억원),2021,유형: 일반교과 사교육,55701
고등학교 (억원),2021,개인과외,10549
고등학교 (억원),2021,그룹과외,3809
고등학교 (억원),2021,학원수강,39535
고등학교 (억원),2021,방문학습지,71
고등학교 (억원),2021,유료인터넷 및 통신강좌 등,1737
고등학교 (억원),2021,"유형: 예체능, 취미·교양 사교육",8410
고등학교 (억원),2021,개인과외,2016
고등학교 (억원),2021,그룹과외,354
고등학교 (억원),2021,학원수강,5856
고등학교 (억원),2021,방문수업 및 기타,184
고등학교 (억원),2022,전체,69651
고등학교 (억원),2022,대도시,32789
고등학교 (억원),2022,서울,17489
고등학교 (억원),2022,광역시,15301
고등학교 (억원),2022,대도시 이외,36861
고등학교 (억원),2022,중소도시,30205
고등학교 (억원),2022,읍면지역,6656
고등학교 (억원),2022,과목: 일반교과 사교육,59141
고등학교 (억원),2022,국어,9813
고등학교 (억원),2022,영어,18729
고등학교 (억원),2022,수학,24304
고등학교 (억원),2022,"사회, 과학",4867
고등학교 (억원),2022,논술,842
고등학교 (억원),2022,"제2외국어, 한문, 컴퓨터 등",587
고등학교 (억원),2022,컴퓨터,282
고등학교 (억원),2022,"제2외국어, 한문 등",305
고등학교 (억원),2022,"과목: 예체능, 취미·교양 사교육",9307
고등학교 (억원),2022,음악,2731
고등학교 (억원),2022,미술,3136
고등학교 (억원),2022,체육,1894
고등학교 (억원),2022,취미·교양,1546
고등학교 (억원),2022,과목: 취업관련 사교육,736
고등학교 (억원),2022,과목: 진로·진학 학습상담,466
고등학교 (억원),2022,유형: 일반교과 사교육,59141
고등학교 (억원),2022,개인과외,10641
고등학교 (억원),2022,그룹과외,3700
고등학교 (억원),2022,학원수강,42755
고등학교 (억원),2022,방문학습지,66
고등학교 (억원),2022,유료인터넷 및 통신강좌 등,1979
고등학교 (억원),2022,"유형: 예체능, 취미·교양 사교육",9307
고등학교 (억원),2022,개인과외,2470
고등학교 (억원),2022,그룹과외,404
고등학교 (억원),2022,학원수강,6225
고등학교 (억원),2022,방문수업 및 기타,209
일반고 (억원),2013,전체,49045
일반고 (억원),2013,대도시,27102
일반고 (억원),2013,서울,14438
일반고 (억원),2013,광역시,12664
일반고 (억원),2013,대도시 이외,21943
일반고 (억원),2013,중소도시,18866
일반고 (억원),2013,읍면지역,3078
일반고 (억원),2013,과목: 일반교과 사교육,41967
일반고 (억원),2013,국어,4102
일반고 (억원),2013,영어,15165
일반고 (억원),2013,수학,19693
일반고 (억원),2013,"사회, 과학",1278
일반고 (억원),2013,논술,1484
일반고 (억원),2013,"제2외국어, 한문, 컴퓨터 등",246
일반고 (억원),2013,"과목: 예체능, 취미·교양 사교육",6870
일반고 (억원),2013,음악,2426
일반고 (억원),2013,미술,2513
일반고 (억원),2013,체육,852
일반고 (억원),2013,취미·교양,1080
일반고 (억원),2013,과목: 취업관련 사교육,208
일반고 (억원),2013,유형: 일반교과 사교육,41967
일반고 (억원),2013,개인과외,12303
일반고 (억원),2013,그룹과외,4940
일반고 (억원),2013,학원수강,24181
일반고 (억원),2013,방문학습지,83
일반고 (억원),2013,유료인터넷 및 통신강좌 등,461
일반고 (억원),2013,"유형: 예체능, 취미·교양 사교육",6870
일반고 (억원),2013,개인과외,1665
일반고 (억원),2013,그룹과외,200
일반고 (억원),2013,학원수강,4986
일반고 (억원),2013,방문수업 및 기타,20
일반고 (억원),2014,전체,48756
일반고 (억원),2014,대도시,25675
일반고 (억원),2014,서울,13609
일반고 (억원),2014,광역시,12066
일반고 (억원),2014,대도시 이외,23081
일반고 (억원),2014,중소도시,19552
일반고 (억원),2014,읍면지역,3529
일반고 (억원),2014,과목: 일반교과 사교육,41657
일반고 (억원),2014,국어,3897
일반고 (억원),2014,영어,14873
일반고 (억원),2014,수학,20023
일반고 (억원),2014,"사회, 과학",1628
일반고 (억원),2014,논술,1081
일반고 (억원),2014,"제2외국어, 한문, 컴퓨터 등",155
일반고 (억원),2014,"과목: 예체능, 취미·교양 사교육",6820
일반고 (억원),2014,음악,2448
일반고 (억원),2014,미술,2382
일반고 (억원),2014,체육,861
일반고 (억원),2014,취미·교양,1128
일반고 (억원),2014,과목: 취업관련 사교육,279
일반고 (억원),2014,유형: 일반교과 사교육,41657
일반고 (억원),2014,개인과외,11642
일반고 (억원),2014,그룹과외,4726
일반고 (억원),2014,학원수강,24811
일반고 (억원),2014,방문학습지,70
일반고 (억원),2014,유료인터넷 및 통신강좌 등,408
일반고 (억원),2014,"유형: 예체능, 취미·교양 사교육",6820
일반고 (억원),2014,개인과외,1816
일반고 (억원),2014,그룹과외,133
일반고 (억원),2014,학원수강,4855
일반고 (억원),2014,방문수업 및 기타,16
일반고 (억원),2015,전체,48713
일반고 (억원),2015,대도시,25319
일반고 (억원),2015,서울,13488
일반고 (억원),2015,광역시,11831
일반고 (억원),2015,대도시 이외,23394
일반고 (억원),2015,중소도시,19722
일반고 (억원),2015,읍면지역,3672
일반고 (억원),2015,과목: 일반교과 사교육,42267
일반고 (억원),2015,국어,3798
일반고 (억원),2015,영어,15115
일반고 (억원),2015,수학,20305
일반고 (억원),2015,"사회, 과학",1738
일반고 (억원),2015,논술,1101
일반고 (억원),2015,"제2외국어, 한문, 컴퓨터 등",211
일반고 (억원),2015,"과목: 예체능, 취미·교양 사교육",6104
일반고 (억원),2015,음악,1769
일반고 (억원),2015,미술,2394
일반고 (억원),2015,체육,1045
일반고 (억원),2015,취미·교양,896
일반고 (억원),2015,과목: 취업관련 사교육,342
일반고 (억원),2015,유형: 일반교과 사교육,42267
일반고 (억원),2015,개인과외,11256
일반고 (억원),2015,그룹과외,4525
일반고 (억원),2015,학원수강,25932
일반고 (억원),2015,방문학습지,81
일반고 (억원),2015,유료인터넷 및 통신강좌 등,472
일반고 (억원),2015,"유형: 예체능, 취미·교양 사교육",6104
일반고 (억원),2015,개인과외,1578
일반고 (억원),2015,그룹과외,177
일반고 (억원),2015,학원수강,4312
일반고 (억원),2015,방문수업 및 기타,38
일반고 (억원),2016,전체,52632
일반고 (억원),2016,대도시,26571
일반고 (억원),2016,서울,14089
일반고 (억원),2016,광역시,12482
일반고 (억원),2016,대도시 이외,26061
일반고 (억원),2016,중소도시,22560
일반고 (억원),2016,읍면지역,3501
일반고 (억원),2016,과목: 일반교과 사교육,45230
일반고 (억원),2016,국어,4699
일반고 (억원),2016,영어,15627
일반고 (억원),2016,수학,21371
일반고 (억원),2016,"사회, 과학",2252
일반고 (억원),2016,논술,1028
일반고 (억원),2016,"제2외국어, 한문, 컴퓨터 등",252
일반고 (억원),2016,"과목: 예체능, 취미·교양 사교육",6932
일반고 (억원),2016,음악,2255
일반고 (억원),2016,미술,2523
일반고 (억원),2016,체육,1076
일반고 (억원),2016,취미·교양,1078
일반고 (억원),2016,과목: 취업관련 사교육,470
일반고 (억원),2016,유형: 일반교과 사교육,45230
일반고 (억원),2016,개인과외,10651
일반고 (억원),2016,그룹과외,4565
일반고 (억원),2016,학원수강,29290
일반고 (억원),2016,방문학습지,79
일반고 (억원),2016,유료인터넷 및 통신강좌 등,644
일반고 (억원),2016,"유형: 예체능, 취미·교양 사교육",6932
일반고 (억원),2016,개인과외,1995
일반고 (억원),2016,그룹과외,266
일반고 (억원),2016,학원수강,4487
일반고 (억원),2016,방문수업 및 기타,185
일반고 (억원),2017,전체,54810
일반고 (억원),2017,대도시,27806
일반고 (억원),2017,서울,14573
일반고 (억원),2017,광역시,13233
일반고 (억원),2017,대도시 이외,27004
일반고 (억원),2017,중소도시,22204
일반고 (억원),2017,읍면지역,4800
일반고 (억원),2017,과목: 일반교과 사교육,45410
일반고 (억원),2017,국어,5412
일반고 (억원),2017,영어,15100
일반고 (억원),2017,수학,21290
일반고 (억원),2017,"사회, 과학",2362
일반고 (억원),2017,논술,882
일반고 (억원),2017,"제2외국어, 한문, 컴퓨터 등",363
일반고 (억원),2017,"과목: 예체능, 취미·교양 사교육",8450
일반고 (억원),2017,음악,2187
일반고 (억원),2017,미술,2709
일반고 (억원),2017,체육,1917
일반고 (억원),2017,취미·교양,1638
일반고 (억원),2017,과목: 취업관련 사교육,708
일반고 (억원),2017,과목: 진로·진학 학습상담,242
일반고 (억원),2017,유형: 일반교과 사교육,45410
일반고 (억원),2017,개인과외,9416
일반고 (억원),2017,그룹과외,4676
일반고 (억원),2017,학원수강,30570
일반고 (억원),2017,방문학습지,110
일반고 (억원),2017,유료인터넷 및 통신강좌 등,639
일반고 (억원),2017,"유형: 예체능, 취미·교양 사교육",8450
일반고 (억원),2017,개인과외,2443
일반고 (억원),2017,그룹과외,378
일반고 (억원),2017,학원수강,5488
일반고 (억원),2017,방문수업 및 기타,141
일반고 (억원),2018,전체,57181
일반고 (억원),2018,대도시,27495
일반고 (억원),2018,서울,14533
일반고 (억원),2018,광역시,12961
일반고 (억원),2018,대도시 이외,29686
일반고 (억원),2018,중소도시,25281
일반고 (억원),2018,읍면지역,4405
일반고 (억원),2018,과목: 일반교과 사교육,47394
일반고 (억원),2018,국어,6407
일반고 (억원),2018,영어,15596
일반고 (억원),2018,수학,21379
일반고 (억원),2018,"사회, 과학",2800
일반고 (억원),2018,논술,774
일반고 (억원),2018,"제2외국어, 한문, 컴퓨터 등",439
일반고 (억원),2018,"과목: 예체능, 취미·교양 사교육",8841
일반고 (억원),2018,음악,2892
일반고 (억원),2018,미술,3085
일반고 (억원),2018,체육,1502
일반고 (억원),2018,취미·교양,1362
일반고 (억원),2018,과목: 취업관련 사교육,637
일반고 (억원),2018,과목: 진로·진학 학습상담,309
일반고 (억원),2018,유형: 일반교과 사교육,47394
일반고 (억원),2018,개인과외,9340
일반고 (억원),2018,그룹과외,4423
일반고 (억원),2018,학원수강,32788
일반고 (억원),2018,방문학습지,80
일반고 (억원),2018,유료인터넷 및 통신강좌 등,762
일반고 (억원),2018,"유형: 예체능, 취미·교양 사교육",8841
일반고 (억원),2018,개인과외,2573
일반고 (억원),2018,그룹과외,325
일반고 (억원),2018,학원수강,5817
일반고 (억원),2018,방문수업 및 기타,125
일반고 (억원),2019,전체,59384
일반고 (억원),2019,대도시,29059
일반고 (억원),2019,서울,15152
일반고 (억원),2019,광역시,13907
일반고 (억원),2019,대도시 이외,30326
일반고 (억원),2019,중소도시,25407
일반고 (억원),2019,읍면지역,4919
일반고 (억원),2019,과목: 일반교과 사교육,50069
일반고 (억원),2019,국어,7182
일반고 (억원),2019,영어,16239
일반고 (억원),2019,수학,21766
일반고 (억원),2019,"사회, 과학",3348
일반고 (억원),2019,논술,1017
일반고 (억원),2019,"제2외국어, 한문, 컴퓨터 등",519
일반고 (억원),2019,컴퓨터,122
일반고 (억원),2019,"제2외국어, 한문 등",397
일반고 (억원),2019,"과목: 예체능, 취미·교양 사교육",8444
일반고 (억원),2019,음악,2700
일반고 (억원),2019,미술,2844
일반고 (억원),2019,체육,1554
일반고 (억원),2019,취미·교양,1346
일반고 (억원),2019,과목: 취업관련 사교육,549
일반고 (억원),2019,과목: 진로·진학 학습상담,322
일반고 (억원),2019,유형: 일반교과 사교육,50069
일반고 (억원),2019,개인과외,9471
일반고 (억원),2019,그룹과외,4096
일반고 (억원),2019,학원수강,35487
일반고 (억원),2019,방문학습지,55
일반고 (억원),2019,유료인터넷 및 통신강좌 등,960
일반고 (억원),2019,"유형: 예체능, 취미·교양 사교육",8444
일반고 (억원),2019,개인과외,2443
일반고 (억원),2019,그룹과외,395
일반고 (억원),2019,학원수강,5459
일반고 (억원),2019,방문수업 및 기타,147
일반고 (억원),2020,전체,60735
일반고 (억원),2020,대도시,29207
일반고 (억원),2020,서울,15425
일반고 (억원),2020,광역시,13782
일반고 (억원),2020,대도시 이외,31528
일반고 (억원),2020,중소도시,26316
일반고 (억원),2020,읍면지역,5212
일반고 (억원),2020,과목: 일반교과 사교육,52509
일반고 (억원),2020,국어,7631
일반고 (억원),2020,영어,17013
일반고 (억원),2020,수학,22693
일반고 (억원),2020,"사회, 과학",3971
일반고 (억원),2020,논술,690
일반고 (억원),2020,"제2외국어, 한문, 컴퓨터 등",511
일반고 (억원),2020,컴퓨터,130
일반고 (억원),2020,"제2외국어, 한문 등",380
일반고 (억원),2020,"과목: 예체능, 취미·교양 사교육",7331
일반고 (억원),2020,음악,2144
일반고 (억원),2020,미술,2553
일반고 (억원),2020,체육,1558
일반고 (억원),2020,취미·교양,1075
일반고 (억원),2020,과목: 취업관련 사교육,539
일반고 (억원),2020,과목: 진로·진학 학습상담,356
일반고 (억원),2020,유형: 일반교과 사교육,52509
일반고 (억원),2020,개인과외,9423
일반고 (억원),2020,그룹과외,4193
일반고 (억원),2020,학원수강,37832
일반고 (억원),2020,방문학습지,53
일반고 (억원),2020,유료인터넷 및 통신강좌 등,1007
일반고 (억원),2020,"유형: 예체능, 취미·교양 사교육",7331
일반고 (억원),2020,개인과외,1964
일반고 (억원),2020,그룹과외,402
일반고 (억원),2020,학원수강,4849
일반고 (억원),2020,방문수업 및 기타,115
일반고 (억원),2021,전체,62637
일반고 (억원),2021,대도시,29796
일반고 (억원),2021,서울,15797
일반고 (억원),2021,광역시,13999
일반고 (억원),2021,대도시 이외,32842
일반고 (억원),2021,중소도시,27206
일반고 (억원),2021,읍면지역,5636
일반고 (억원),2021,과목: 일반교과 사교육,54156
일반고 (억원),2021,국어,8677
