가계수지항목별,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4
가계수지항목별,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구
소득,4271911,4168865,4301979,4284972,4366070,4315385,4377301,4361723,4383813,4286962,4728905,4642311,4825037,4831061,4868667,4833575,5053853,4792979,5032739
