시점,구분,부문별미분양현황,시도별미분양현황,규모별미분양현황
2016.0,광주광역시,-,554,-
2016.0,대전광역시,-,644,-
2016.0,울산광역시,-,481,-
2016.0,경기도,-,"13,362",-
2016.0,세종특별자치시,-,0,-
2016.0,강원도,-,"3,314",-
2016.0,충청북도,-,"3,989",-
2016.0,충청남도,-,"9,323",-
2016.0,전라북도,-,"2,382",-
2016.0,전라남도,-,"1,245",-
2016.0,경상북도,-,"7,421",-
2016.0,경상남도,-,"8,014",-
2016.0,제주도,-,271,-
2016.0,수도권,-,"16,689",-
2016.0,60㎡이하,-,-,"9,128"
2016.0,지방,-,"39,724",-
2016.0,60-85㎡,-,-,"40,574"
2016.0,85㎡초과,-,-,"6,711"
2017.0,계,"57,330",-,"57,330"
2017.0,민간부문,"57,330",-,-
2017.0,공공부문,0,-,-
2017.0,(준공후),"11,720",-,-
2017.0,전국,-,"57,330",-
2017.0,서울특별시,-,45,-
2017.0,부산광역시,-,"1,920",-
2017.0,대구광역시,-,126,-
2017.0,인천광역시,-,"1,549",-
2017.0,광주광역시,-,707,-
2017.0,대전광역시,-,759,-
2017.0,울산광역시,-,855,-
2017.0,경기도,-,"8,793",-
2017.0,세종특별자치시,-,0,-
2017.0,강원도,-,"2,816",-
2017.0,충청북도,-,"4,980",-
2017.0,충청남도,-,"11,283",-
2017.0,전라북도,-,"1,881",-
2017.0,전라남도,-,627,-
2017.0,경상북도,-,"7,630",-
2017.0,경상남도,-,"12,088",-
2017.0,제주도,-,"1,271",-
2017.0,수도권,-,"10,387",-
2017.0,60㎡이하,-,-,"9,919"
2017.0,지방,-,"46,943",-
2017.0,60-85㎡,-,-,"41,709"
2017.0,85㎡초과,-,-,"5,702"
2018.0,계,"58,838",-,"58,838"
2018.0,민간부문,"58,838",-,-
2018.0,공공부문,0,-,-
2018.0,(준공후),"16,738",-,-
2018.0,전국,-,"58,838",-
2018.0,서울특별시,-,27,-
2018.0,부산광역시,-,"4,153",-
2018.0,대구광역시,-,362,-
2018.0,인천광역시,-,"1,324",-
2018.0,광주광역시,-,58,-
2018.0,대전광역시,-,"1,183",-
2018.0,울산광역시,-,997,-
2018.0,경기도,-,"4,968",-
2018.0,세종특별자치시,-,0,-
2018.0,강원도,-,"5,736",-
2018.0,충청북도,-,"4,560",-
2018.0,충청남도,-,"7,763",-
2018.0,전라북도,-,"1,607",-
2018.0,전라남도,-,"1,663",-
2018.0,경상북도,-,"8,995",-
2018.0,경상남도,-,"14,147",-
2018.0,제주도,-,"1,295",-
2018.0,수도권,-,"6,319",-
2018.0,60㎡이하,-,-,"9,308"
2018.0,지방,-,"52,519",-
2018.0,60-85㎡,-,-,"44,142"
2018.0,85㎡초과,-,-,"5,388"
2019.0,계,"47,797",-,"47,797"
2019.0,민간부문,"47,797",-,-
2019.0,공공부문,0,-,-
2019.0,(준공후),"18,065",-,-
2019.0,전국,-,"47,797",-
2019.0,서울특별시,-,151,-
2019.0,부산광역시,-,"2,115",-
2019.0,대구광역시,-,"1,790",-
2019.0,인천광역시,-,966,-
2019.0,광주광역시,-,148,-
